team1,team2,toss_winner,toss_decision,winner
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab
Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings
